 "name" , "rent" , "stores" ,
 "Grünau-Nord" , "4.47" , "1" ,
 "Grünau-Mitte" , "4.78" , "4" ,
 "Grünau-Ost" , "4.95" , "1" ,
 "Schönau" , "5.12" , "1" ,
 "Paunsdorf" , "5.57" , "3" ,
 "Lößnig" , "5.60" , "1" ,
 "Anger-Crottendorf" , "5.82" , "1" ,
 "Großzschocher" , "5.83" , "1" ,
 "Möckern" , "5.84" , "2" ,
 "Schönefeld-Abtnaundorf" , "5.86" , "2" ,
 "Marienbrunn" , "5.88" , "1" ,
 "Böhlitz-Ehrenberg" , "5.89" , "3" ,
 "Sellerhausen-Stünz" , "5.93" , "1" ,
 "Volkmarsdorf" , "5.93" , "1" ,
 "Stötteritz" , "5.96" , "2" ,
 "Lindenthal" , "6.00" , "1" ,
 "Leutzsch" , "6.00" , "3" ,
 "Neulindenau" , "6.03" , "1" ,
 "Lindenau" , "6.05" , "1" ,
 "Wahren" , "6.05" , "1" ,
 "Probstheida" , "6.14" , "1" ,
 "Seehausen" , "6.22" , "1" ,
 "Altlindenau" , "6.24" , "1" ,
 "Thekla" , "6.47" , "2" ,
 "Eutritzsch" , "6.48" , "4" ,
 "Liebertwolkwitz" , "6.51" , "1" ,
 "Reudnitz-Thonberg" , "6.57" , "1" ,
 "Neustadt-Neuschönefeld" , "6.60" , "1" ,
 "Plaußig-Portitz" , "6.89" , "1" ,
 "Schleußig" , "7.05" , "1" ,
 "Plagwitz" , "7.09" , "5" ,
 "Gohlis-Süd" , "7.17" , "3" ,
 "Gohlis-Nord" , "7.21" , "1" ,
 "Südvorstadt" , "7.84" , "1" ,
 "Connewitz" , "8.42" , "1" ,
 "Zentrum-West" , "8.45" , "1" ,
 "Zentrum-Ost" , "8.48" , "2" ,
 "Zentrum-Südost" , "8.79" , "1" ,
 "Zentrum-Nordwest" , "9.01" , "1" ,
 "Zentrum-Süd" , "9.01" , "1" ,
 "Zentrum" , "9.35" , "3" ,
